component,variance_,variance_ratio_/ %,variance_cumulative/ %
1,8.201884149994669,38.701531270537615,38.701531270537615
2,3.4324663876664143,16.19648641799304,54.89801768853066
3,2.0877292632035993,9.851190029835166,64.74920771836582
4,1.5221938762401652,7.182646429012035,71.93185414737786
5,1.2534408624163884,5.914504502311098,77.84635864968897
6,0.9112130144901752,4.299663141966628,82.1460217916556
7,0.7800444691280088,3.6807293132014274,85.82675110485702
8,0.6950128140186583,3.2794976938542755,89.1062487987113
9,0.6121034101806824,2.8882801605928305,91.99452895930413
10,0.3972723205470692,1.874575019031625,93.86910397833576
11,0.3743115147419295,1.7662318228082385,95.635335801144
12,0.2936564320943125,1.3856515626961068,97.0209873638401
13,0.23135431741730358,1.0916718873803501,98.11265925122045
14,0.16675224857746743,0.786839614499738,98.89949886572019
15,0.12662109083022546,0.5974761428785531,99.49697500859874
16,0.07787273415961919,0.36745142958435034,99.86442643818309
17,0.018106495715351195,0.0854375771849905,99.94986401536808
18,0.005748680946249106,0.02712581052559102,99.97698982589367
19,0.004314284988680531,0.02035744864788649,99.99734727454155
20,0.0005621831017477692,0.0026527254584634997,100.00000000000001
21,2.532107221372151e-32,1.194803840387725e-31,100.00000000000001
