,Num,Mean,Median,Min,Max,Std,Skew,Kurt,Var
assistsPG,110,2.49,1.90,0.60,10.20,1.63,2.18,6.19,2.65
blocksPG,110,0.63,0.50,0.10,2.30,0.48,1.67,2.84,0.23
defensiveReboundsPG,110,4.62,4.35,1.70,11.40,1.69,1.16,2.11,2.87
fgAttemptedPG,110,11.61,10.96,5.24,20.57,3.66,0.60,-0.41,13.43
fgPCT,110,0.47,0.50,0.40,0.70,0.07,0.56,-0.14,0.00
foulsPG,110,2.39,2.30,1.20,4.10,0.61,0.48,-0.17,0.38
ftAttemptedPG,110,3.26,2.67,0.84,9.98,1.97,1.36,1.67,3.88
ftMadePG,110,1.50,1.42,0.00,3.70,0.87,0.27,-0.33,0.75
ftPCT,110,0.77,0.79,0.46,0.93,0.08,-0.91,1.49,0.01
games,110,55.80,59.50,11.00,74.00,14.28,-1.39,1.71,204.01
gamesStarted,110,42.11,48.00,0.00,73.00,22.39,-0.51,-1.10,501.33
minutes,110,1614.45,1726.00,301.00,2482.00,503.42,-0.75,0.21,253430.89
minutesPG,110,28.71,29.50,16.40,35.40,4.47,-0.59,-0.36,19.94
offensiveReboundsPG,110,1.32,1.10,0.10,4.00,0.77,0.95,0.57,0.59
points,110,842.45,775.50,124.00,1857.00,366.39,0.52,0.09,134244.05
pointsPG,110,15.01,13.15,9.10,29.50,5.16,0.91,-0.08,26.65
reboundsPG,110,5.94,5.70,2.20,13.60,2.20,0.92,1.14,4.85
stealsPG,110,0.86,0.80,0.20,2.10,0.34,1.02,1.56,0.12
threesMadePG,110,1.50,1.42,0.00,3.70,0.87,0.27,-0.33,0.75
threesPCT,110,0.34,0.36,0.00,0.59,0.09,-1.77,5.97,0.01
turnoversPG,110,1.68,1.50,0.60,4.30,0.75,1.21,1.34,0.56
