Rank,TeamName,ShotAccuracy,TrebleAccuracy,PenaltyAccuracy,Rebounds,Assist,Fault,Intercept,NutCap,Illegal,Scores
1,马刺,50.5%,40.0%,86.2%,48.0,28.0,11.00,8.00,8.00,18.00,131.0
2,雄鹿,53.0%,47.2%,75.0%,56.0,22.0,17.00,5.00,5.00,18.50,129.5
3,国王,44.6%,32.3%,77.4%,53.0,27.0,15.00,5.00,7.00,29.00,124.0
4,篮网,49.4%,46.9%,82.5%,50.0,22.5,18.00,8.00,8.50,22.00,124.0
5,老鹰,53.8%,40.0%,82.8%,46.0,24.0,23.00,6.00,3.00,29.00,124.0
6,湖人,51.7%,41.2%,74.5%,49.0,27.5,18.00,6.50,3.00,21.50,123.5
7,掘金,48.0%,27.6%,83.3%,45.0,28.0,15.00,6.00,12.00,25.00,122.0
8,步行者,48.9%,23.5%,72.4%,50.0,28.0,13.00,6.00,9.00,24.00,121.0
9,骑士,52.9%,46.7%,75.0%,50.0,34.0,21.00,12.00,3.00,22.00,121.0
10,爵士,45.7%,38.0%,78.9%,59.0,24.0,11.00,3.00,3.00,16.00,120.0
11,灰熊,51.6%,37.0%,61.1%,42.0,27.0,11.00,6.00,8.00,20.00,119.0
12,快船,47.3%,35.0%,73.7%,40.0,22.0,16.00,10.00,3.00,29.00,116.0
13,黄蜂,50.0%,36.4%,53.3%,32.0,29.0,15.00,10.00,4.00,17.00,114.0
14,76人,47.1%,28.6%,76.7%,47.0,22.0,18.00,11.00,8.00,25.00,113.0
15,魔术,47.7%,35.7%,63.3%,41.0,23.0,18.00,15.00,3.00,19.00,113.0
16,森林狼,43.2%,26.8%,85.7%,48.0,25.0,12.00,6.00,5.00,16.00,111.0
17,热火,50.6%,40.4%,83.3%,39.0,27.0,19.50,11.00,2.00,23.00,109.0
18,凯尔特人,42.7%,38.8%,70.0%,42.0,23.0,11.00,7.00,5.50,22.00,108.5
19,独行侠,45.8%,31.9%,78.8%,33.0,18.5,10.50,9.50,1.50,22.50,108.5
20,奇才,45.9%,48.1%,69.6%,40.0,28.0,20.00,7.00,4.00,26.00,107.0
21,尼克斯,45.9%,42.9%,73.9%,40.0,25.0,16.00,8.00,8.00,27.00,107.0
22,太阳,48.1%,36.7%,70.4%,48.0,21.0,19.00,7.00,7.00,26.00,106.0
23,鹈鹕,46.2%,37.7%,67.9%,43.0,24.0,23.00,10.50,4.50,18.50,105.5
24,公牛,41.4%,22.9%,85.7%,37.0,20.0,17.00,10.00,3.00,22.00,104.0
25,活塞,48.4%,22.9%,37.5%,44.0,29.0,15.00,5.00,2.00,20.00,101.0
26,开拓者,40.2%,36.4%,82.4%,40.0,23.0,6.00,6.00,3.00,18.00,100.0
27,勇士,35.9%,25.6%,75.0%,45.0,20.0,14.50,5.50,6.00,23.00,99.0
28,猛龙,42.7%,30.4%,75.0%,35.0,26.0,21.00,10.00,5.00,22.00,99.0
