nickname,img
魔术,https://mat1.gtimg.com/sports/nba/logo/1602/19.png
步行者,https://img1.gtimg.com/sports/pics/hv1/43/116/2220/144385123.png
篮网,https://mat1.gtimg.com/sports/nba/logo/1602/17.png
老鹰,https://mat1.gtimg.com/sports/nba/logo/1602/1.png
骑士,https://img1.gtimg.com/sports/pics/hv1/131/116/2220/144385211.png
76人,https://mat1.gtimg.com/sports/nba/logo/1602/20.png
热火,https://img1.gtimg.com/sports/pics/hv1/212/15/2292/149041337.png
雄鹿,https://mat1.gtimg.com/sports/nba/logo/1602/15.png
凯尔特人,https://mat1.gtimg.com/sports/nba/logo/1602/2.png
黄蜂,https://mat1.gtimg.com/sports/nba/logo/1602/30.png
活塞,https://mat1.gtimg.com/sports/nba/logo/new/8.png
尼克斯,https://mat1.gtimg.com/sports/nba/logo/1602/18.png
奇才,https://mat1.gtimg.com/sports/nba/logo/1602/27.png
公牛,https://mat1.gtimg.com/sports/nba/logo/1602/4.png
猛龙,https://img1.gtimg.com/sports/pics/hv1/133/21/2268/147482188.png
快船,https://mat1.gtimg.com/sports/nba/logo/1602/1201.png
森林狼,https://mat1.gtimg.com/sports/nba/logo/new/16.png
马刺,https://img1.gtimg.com/sports/pics/hv1/231/116/2220/144385311.png
国王,https://mat1.gtimg.com/sports/nba/logo/1602/23.png
雷霆,https://mat1.gtimg.com/sports/nba/logo/1602/25.png
鹈鹕,https://mat1.gtimg.com/sports/nba/logo/1602/3.png
湖人,https://mat1.gtimg.com/sports/nba/logo/1602/13.png
爵士,https://mat1.gtimg.com/sports/nba/logo/1602/26.png
火箭,https://mat1.gtimg.com/sports/nba/logo/1602/10.png
太阳,https://mat1.gtimg.com/sports/nba/logo/1602/21.png
开拓者,https://mat1.gtimg.com/sports/nba/logo/new/22.png
灰熊,https://mat1.gtimg.com/sports/nba/logo/1602/29.png
勇士,https://mat1.gtimg.com/sports/nba/logo/1602/9.png
掘金,http://mat1.gtimg.com/sports/nba/logo/1602/20187.png
独行侠,https://mat1.gtimg.com/sports/nba/logo/1602/6.png
