,3P,FT,AST,STL,BLK,PF,TRB,W,L,cnname
Golden State Warriors,12.0,17.8,30.4,9.6,6.8,19.3,44.4,67,15,勇士
Houston Rockets,14.4,20.3,25.2,8.2,4.3,19.9,44.4,55,27,火箭
Denver Nuggets,10.6,18.7,25.3,6.9,3.9,19.1,46.4,40,42,掘金
Cleveland Cavaliers,13.0,17.5,22.7,6.6,4.0,18.1,43.7,51,31,骑士
Washington Wizards,9.2,17.3,23.9,8.5,4.1,21.3,42.9,49,33,奇才
Los Angeles Clippers,10.3,19.3,22.5,7.5,4.2,19.8,43.0,51,31,快船
Boston Celtics,12.0,18.7,25.2,7.5,4.1,20.6,42.0,53,29,凯尔特人
Portland Trail Blazers,10.4,18.5,21.1,7.0,5.0,21.2,43.7,41,41,开拓者
Phoenix Suns,7.5,20.4,19.6,8.2,4.9,24.8,45.0,24,58,太阳
Toronto Raptors,8.8,19.7,18.5,8.3,4.9,20.8,43.3,51,31,猛龙
Oklahoma City Thunder,8.4,19.2,21.0,7.9,5.0,20.9,46.6,47,35,雷霆
Brooklyn Nets,10.7,19.4,21.4,7.2,4.7,21.0,43.9,20,62,篮网
Minnesota Timberwolves,7.3,19.3,23.7,8.0,4.5,20.1,42.4,31,51,森林狼
San Antonio Spurs,9.2,17.6,23.8,8.0,5.9,18.3,43.9,61,21,马刺
Indiana Pacers,8.6,17.9,22.5,8.2,5.0,19.5,42.0,42,40,步行者
Charlotte Hornets,10.0,19.4,23.1,7.0,4.8,16.6,43.6,36,46,黄蜂
Los Angeles Lakers,8.9,17.0,20.9,8.2,3.9,20.7,43.5,26,56,湖人
New Orleans Pelicans,9.4,16.7,22.8,7.8,5.5,18.2,43.7,34,48,鹈鹕
New York Knicks,8.6,16.6,21.8,7.1,5.5,20.3,45.2,31,51,尼克斯
Milwaukee Bucks,8.8,17.2,24.2,8.1,5.3,20.2,40.4,42,40,雄鹿
Miami Heat,9.9,15.2,21.2,7.2,5.7,20.5,43.6,41,41,热火
Atlanta Hawks,8.9,18.1,23.6,8.2,4.8,18.2,44.3,43,39,老鹰
Chicago Bulls,7.6,18.0,22.6,7.8,4.8,17.7,46.3,41,41,公牛
Sacramento Kings,9.0,18.1,22.5,7.6,4.0,20.3,41.1,32,50,国王
Philadelphia 76ers,10.1,17.0,23.8,8.4,5.1,21.9,42.8,28,54,76人
Detroit Pistons,7.7,13.9,21.1,7.0,3.8,17.9,45.7,37,45,活塞
Orlando Magic,8.5,16.0,22.2,7.1,4.8,19.3,43.2,29,53,魔术
Utah Jazz,9.6,17.1,20.1,6.7,5.0,18.8,43.2,51,31,爵士
Memphis Grizzlies,9.4,18.3,21.3,8.0,4.2,22.4,42.8,43,39,灰熊
Dallas Mavericks,10.7,14.8,20.8,7.5,3.7,19.1,38.6,33,49,独行侠
